procedure,procedureLevel1
Beschikking,Beschikking
Tussenbeschikking,Beschikking
Cassatie,Cassatie
Cassatie in het belang der wet,Cassatie
Verwijzing na Hoge Raad,Cassatie
Bodemzaak,Eerste aanleg
Eerste aanleg - enkelvoudig,Eerste aanleg
Eerste aanleg - meervoudig,Eerste aanleg
Eerste en enige aanleg,Eerste aanleg
Kort geding,Eerste aanleg
Mondelinge uitspraak,Eerste aanleg
NCC,Eerste aanleg
Hoger beroep,Hoger beroep
Hoger beroep kort geding,Hoger beroep
NCCA,Hoger beroep
Belemmeringenwet Privaatrecht,Overige procedures
Beslissing RC,Overige procedures
Conservatoire maatregel,Overige procedures
Geheimhoudingsbeslissing,Overige procedures
Herroeping,Overige procedures
Herziening,Overige procedures
Op tegenspraak,Overige procedures
Peek,Overige procedures
Proceskostenveroordeling,Overige procedures
Proces-verbaal,Overige procedures
Raadkamer,Overige procedures
Rekestprocedure,Overige procedures
Schadevergoedingsuitspraak,Overige procedures
Tussenuitspraak,Overige procedures
Tussenuitspraak bestuurlijke lus,Overige procedures
Vereenvoudigde behandeling,Overige procedures
Verschoning,Overige procedures
Versnelde behandeling,Overige procedures
Verstek,Overige procedures
Verzet,Overige procedures
Voorlopige voorziening,Overige procedures
Voorlopige voorziening+bodemzaak,Overige procedures
Wraking,Overige procedures
Prejudicieel verzoek,Prejudicieel
Prejudiciële beslissing,Prejudicieel
Prejudiciële spoedprocedure (PPU),Prejudicieel
Uitspraak na prejudiciële beslissing,Prejudicieel
Artikel 80a RO-zaken,RO-zaken
Artikel 81 RO-zaken,RO-zaken
,
,
,
,
,
,
