,id,titel,output,areaLevel1,areaLevel2,areaLevel3
0,Highest_Aanbestedingswet 2012,Aanbestedingswet 2012,Uw vraagt lijkt te gaan om <b>Aanbestedingswet 2012</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Civiel recht,Goederen- en verbintenissenrecht,Verbintenissenrecht
1,Highest_Activiteitenbesluit milieubeheer,Activiteitenbesluit milieubeheer,Uw vraagt lijkt te gaan om <b>Activiteitenbesluit milieubeheer</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Omgevingsrecht,
2,"Highest_Activiteitenbesluit milieubeheer, Artikel 2.17","Activiteitenbesluit milieubeheer, Artikel 2.17","Uw vraagt lijkt te gaan om <b>Activiteitenbesluit milieubeheer, Artikel 2.17</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Omgevingsrecht,
3,Highest_Advocatenwet,Advocatenwet,Uw vraagt lijkt te gaan om <b>Advocatenwet</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Civiel recht,Procesrecht,Bestuursprocesrecht
4,Highest_Afspraken tweede tranche van harmonisatie van de arbeidsvoorwaarden politie,Afspraken tweede tranche van harmonisatie van de arbeidsvoorwaarden politie,Uw vraagt lijkt te gaan om <b>Afspraken tweede tranche van harmonisatie van de arbeidsvoorwaarden politie</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Staats- en bestuursrecht,Ambtenarenrecht
5,Highest_Algemeen Rijksambtenarenreglement,Algemeen Rijksambtenarenreglement,Uw vraagt lijkt te gaan om <b>Algemeen Rijksambtenarenreglement</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Staats- en bestuursrecht,Ambtenarenrecht
6,"Highest_Algemeen Rijksambtenarenreglement, Artikel 81","Algemeen Rijksambtenarenreglement, Artikel 81","Uw vraagt lijkt te gaan om <b>Algemeen Rijksambtenarenreglement, Artikel 81</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,Ambtenarenrecht
7,Highest_Algemeen inkomensbesluit socialezekerheidswetten,Algemeen inkomensbesluit socialezekerheidswetten,Uw vraagt lijkt te gaan om <b>Algemeen inkomensbesluit socialezekerheidswetten</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
8,Highest_Algemeen militair ambtenarenreglement,Algemeen militair ambtenarenreglement,Uw vraagt lijkt te gaan om <b>Algemeen militair ambtenarenreglement</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Staats- en bestuursrecht,Ambtenarenrecht
9,Highest_Algemene Kinderbijslagwet,Algemene Kinderbijslagwet,Uw vraagt lijkt te gaan om <b>Algemene Kinderbijslagwet</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
